陳世琛小兒科診所,07-7235923,高雄市苓雅區青年一路１－１８號
徐貴勝診所,072240668,高雄市苓雅區六合路52號
陳賜定耳鼻喉科診所,07-3354515,高雄市苓雅區青年一路１８５號
周吉男內兒科診所,07-7510652,高雄市苓雅區廣西路１３８號
鄭文雄內兒科診所,07-3302679,高雄市苓雅區興中一路１９４號
侯內兒科診所,073348656,高雄市苓雅區興中一路３１４號
吳國松心臟科診所,077614892,高雄市苓雅區三多二路２８３號
林峻卿耳鼻喉科診所,073334320,高雄市苓雅區昇平街８４號
王建霖家庭醫學科診所,073320440,高雄市苓雅區忠孝二路１０１號
劉春田內兒科診所,077514306,高雄市苓雅區五權街１０６號
吳信良皮膚科診所,073348880,高雄市苓雅區昇平街３７號
黃建國內兒科診所,077114176,高雄市苓雅區三多二路３３７號
林國坤診所,077225391,高雄市苓雅區建國一路115－４號
吳耳鼻喉科診所,077230175,高雄市苓雅區和平二路411號
林勁甫耳鼻喉科診所,077256515,高雄市苓雅區建國一路１２２號
陳清裕小兒專科診所,07-7517221,高雄市苓雅區三多一路３２７號
蔡小兒科診所,077238382,高雄市苓雅區林泉街１９號
鍾展生耳鼻喉科診所,077719595,高雄市苓雅區武慶三路８４號
張鎰基耳鼻喉科診所,072236575,高雄市苓雅區尚禮街３號
蔣小兒科診所,07-2220838,高雄市苓雅區泰順街６４號
許健聰診所,07-3354639,高雄市苓雅區和平一路２８０號
仁和診所,07-3346988,高雄市苓雅區永昌街２２號
小貝貝小兒科診所,07-3332555,高雄市苓雅區光華一路２５號
王勇智耳鼻喉科診所,07-7253460,高雄市苓雅區四維二路２４7號
曾惠仁耳鼻喉科診所,07-7218972,高雄市苓雅區三多二路81號
黃守智小兒科診所,07-3328678,高雄市苓雅區忠孝二路５４號
劉永豐診所,07-7492636,高雄市苓雅區建國一路15之1號１、２樓
楊寬弘診所,07-7241299,高雄市苓雅區凱旋二路128號
邱靖媛小兒專科診所,07-7215153,高雄市苓雅區大順三路172號
莘雅皮膚科診所,07-7250147,高雄市苓雅區三多二路317號(1樓.2樓)
童春診所,07-7210983,高雄市苓雅區武慶三路98號
吳玉衡小兒科診所,07-7234526,高雄市苓雅區青年一路1_17號一樓
馨田耳鼻喉科診所,07-7160043,高雄市苓雅區光華一路148-59號
佳祈皮膚科診所,07-2254652,高雄市苓雅區青年一路6-2號
聖安診所,07-7277097,高雄市苓雅區大順三路186號
家綾診所,07-2510917,高雄市苓雅區海邊路65、66號1樓
祥順信合美診所,07-2236000,高雄市苓雅區大順三路69、71號2樓；武廟路185、187、189號2樓
崇酩耳鼻喉科診所,07-3327296,高雄市苓雅區成功一路181號
一誠診所,０７-7511156,高雄市苓雅區建國一路115之5號
宏明診所,07-7512365,高雄市苓雅區四維一路８８號
紀節朗診所,07-3335880,高雄市苓雅區興中二路８７號
紀培樹診所,07-3353952,高雄市苓雅區興中一路３６５號
郭秀忠診所,07-7228482,高雄市苓雅區四維二路９４號－８
徐獨立診所,07-7133284,高雄市苓雅區武慶三路１４４號
永康診所,07-5352200,高雄市苓雅區光華一路１４５號
仁禾診所,07-7224979,高雄市苓雅區武廟路１８３號
王其時診所,07-2267811,高雄市苓雅區五福一路１７１號
光田診所,07-3338336,高雄市苓雅區苓雅二路１９９號
潘漢嘉診所,07-7153909,高雄市苓雅區英明路１１８號
陳平源診所,07-3347011,高雄市苓雅區自強三路６７號
柯武鎮診所,07-7131840,高雄市苓雅區福壽街１９３號
曾貴海診所,07-7612001,高雄市苓雅區凱旋三路８２７號
健維診所,07-3344637,高雄市苓雅區福建街２５號.永富街4號.6號
鎮安診所,07-7111012,高雄市苓雅區輔仁路１１６號
許國泰診所,07-7213916,高雄市苓雅區和平二路３１６號
惠霖診所,07-7155907,高雄市苓雅區建國一路１１１號一樓
吉利診所,07-7515169,高雄市苓雅區三多一路173號1樓
昱泰診所,07-5378768,高雄市苓雅區興中一路227號1-3樓
楊家福診所,07-7160933,高雄市苓雅區大順三路52號一，二樓
川井診所,07-3356595,高雄市苓雅區自強三路一六三號一樓
向生診所,07-3319393,高雄市苓雅區復興二路88號
麗水診所,07-7174979,高雄市苓雅區四維二路96之4號
愛欣診所,07-7497077,高雄市苓雅區正義路136號(3樓4樓5樓)
同慶診所,07-2260957,高雄市苓雅區同慶路78號
小太陽診所,07-2267753,高雄市苓雅區和平一路150號
家慈診所,07-3333375,高雄市苓雅區永康街118號
太順診所,07-7717766,高雄市苓雅區大順三路178號
安安診所,07-7152609,高雄市苓雅區建國一路284號
伊美力診所,07-3388317,高雄市苓雅區中山二路297號(1樓)
善美診所,07-3336030,高雄市苓雅區中華四路120號(1~3樓)
凱馨診所,07-7527128,高雄市苓雅區林泉街42號(1樓)
黃武雄診所,07-7275889,高雄市苓雅區建國一路286號(1樓)
佳明診所,07-7263727,高雄市苓雅區中正一路136號(1樓)
五塊厝診所,07-7614545,高雄市苓雅區三多一路139、141號(1樓)
榮安內兒科診所,07-3343467,高雄市苓雅區四維四路６5號
明耀診所,07-3307000,高雄市苓雅區青年二路81、83號(1樓)
泰順聯合診所,07-2241595,高雄市苓雅區光華一路１４８－９５號
新立診所,07-3383888,高雄市苓雅區中華四路27號(地下1樓、1樓、2樓)
